ID,date,description,amount,type,account_number,currency
32,30/04/2025,GOOGLE *ZARA,-96.5,debit,MT84MALT011000012345MTLCAST001S,EUR
29,30/04/2025,CARD PURCHASE MCDONALD'S STORE #9922 LDN,-6.28,debit,MT84MALT011000012345MTLCAST001S,EUR
30,30/04/2025,NETFLIX.COM 763-716-0414 US,-21.45,debit,MT84MALT011000012345MTLCAST001S,EUR
33,01/05/2025,TKT*MONTHLYREN,-1047.29,debit,MT84MALT011000012345MTLCAST001S,EUR
34,01/05/2025,GOOGLE *MCDONALD'S,-10.57,debit,MT84MALT011000012345MTLCAST001S,EUR
123,02/05/2025,REFUND AMAZON EU SARL,23.99,credit,MT84MALT011000012345MTLCAST001S,EUR
35,02/05/2025,CARD PURCHASE CONCERT STORE #1977 LDN,-50.37,debit,MT84MALT011000012345MTLCAST001S,EUR
36,03/05/2025,GOOGLE *PUBLICPARKIN,-1.55,debit,MT84MALT011000012345MTLCAST001S,EUR
37,03/05/2025,TKT*STARBUCKS,-12.09,debit,MT84MALT011000012345MTLCAST001S,EUR
38,04/05/2025,MCDONALD'S #84607 MT,-19.51,debit,MT84MALT011000012345MTLCAST001S,EUR
39,05/05/2025,TKT*LOCALDELI,-14.25,debit,MT84MALT011000012345MTLCAST001S,EUR
40,05/05/2025,GAME STORE ONLINE ESP,-14.9,debit,MT84MALT011000012345MTLCAST001S,EUR
41,05/05/2025,NETFLIX ONLINE MLT,-15.68,debit,MT84MALT011000012345MTLCAST001S,EUR
42,06/05/2025,TKT*AMAZON,-140.43,debit,MT84MALT011000012345MTLCAST001S,EUR
43,07/05/2025,NETFLIX #45683,-59.27,debit,MT84MALT011000012345MTLCAST001S,EUR
44,07/05/2025,DPZ MT-666211,-22.29,debit,MT84MALT011000012345MTLCAST001S,EUR
45,10/05/2025,LIDL ONLINE NLD,-16.58,debit,MT84MALT011000012345MTLCAST001S,EUR
46,10/05/2025,CARD PURCHASE PARKING GARAGE STORE #1653 LDN,-5.53,debit,MT84MALT011000012345MTLCAST001S,EUR
47,11/05/2025,NETFLIX #52247,-43.76,debit,MT84MALT011000012345MTLCAST001S,EUR
48,11/05/2025,MCDONALD'S #42816 MT,-130.67,debit,MT84MALT011000012345MTLCAST001S,EUR
49,12/05/2025,POS 195763 DOMINO'S PIZZA MT BIRKIRKARA,-9.92,debit,MT84MALT011000012345MTLCAST001S,EUR
50,14/05/2025,CINEMA TICKETS.COM 790-716-0414 US,-32.86,debit,MT84MALT011000012345MTLCAST001S,EUR
51,15/05/2025,MCDONALD'S #86955 MT,-29.52,debit,MT84MALT011000012345MTLCAST001S,EUR
52,15/05/2025,POS 901909 CINEMA TICKETS MT BIRKIRKARA,-16.62,debit,MT84MALT011000012345MTLCAST001S,EUR
53,16/05/2025,TKT*TECHSTORE,-99.52,debit,MT84MALT011000012345MTLCAST001S,EUR
54,16/05/2025,MCDONALD'S #15273 MT,-12.39,debit,MT84MALT011000012345MTLCAST001S,EUR
55,17/05/2025,GOOGLE *PUBLICPARKIN,-9.01,debit,MT84MALT011000012345MTLCAST001S,EUR
56,17/05/2025,DOMINO'S PIZZA ONLINE MLT,-10.99,debit,MT84MALT011000012345MTLCAST001S,EUR
57,18/05/2025,TECH STORE ONLINE NLD,-98.63,debit,MT84MALT011000012345MTLCAST001S,EUR
58,20/05/2025,GOOGLE *CINEMATICKET,-48.56,debit,MT84MALT011000012345MTLCAST001S,EUR
59,20/05/2025,MCDONALD'S #67132 MT,-127.82,debit,MT84MALT011000012345MTLCAST001S,EUR
60,21/05/2025,STARBUCKS ONLINE ESP,-16.03,debit,MT84MALT011000012345MTLCAST001S,EUR
61,21/05/2025,NETFLIX ONLINE NLD,-57.25,debit,MT84MALT011000012345MTLCAST001S,EUR
63,22/05/2025,AMZN Mktp DE,-12.09,debit,MT84MALT011000012345MTLCAST001S,EUR
62,22/05/2025,LIDL #53687,-21.69,debit,MT84MALT011000012345MTLCAST001S,EUR
64,23/05/2025,CARD PURCHASE CINEMA TICKETS STORE #3634 LDN,-20.5,debit,MT84MALT011000012345MTLCAST001S,EUR
65,24/05/2025,AMZN Mktp EU,-22.68,debit,MT84MALT011000012345MTLCAST001S,EUR
66,26/05/2025,TECH STORE ONLINE NLD,-121.71,debit,MT84MALT011000012345MTLCAST001S,EUR
67,27/05/2025,NETFLIX #82102,-29.13,debit,MT84MALT011000012345MTLCAST001S,EUR
68,27/05/2025,POS 576919 PARKING GARAGE MT BIRKIRKARA,-3,debit,MT84MALT011000012345MTLCAST001S,EUR
69,28/05/2025,CARD PURCHASE SPOTIFY STORE #6153 LDN,-21.15,debit,MT84MALT011000012345MTLCAST001S,EUR
70,29/05/2025,TKT*LOCALDELI,-22.29,debit,MT84MALT011000012345MTLCAST001S,EUR
71,29/05/2025,AMZN Mktp UK,-29.98,debit,MT84MALT011000012345MTLCAST001S,EUR
72,30/05/2025,Payroll ACME Ltd,2106.19,credit,MT84MALT011000012345MTLCAST001S,EUR
73,30/05/2025,CINEMA TICKETS #77449,-18.93,debit,MT84MALT011000012345MTLCAST001S,EUR
74,31/05/2025,POS 789606 STARBUCKS MT BIRKIRKARA,-11.91,debit,MT84MALT011000012345MTLCAST001S,EUR
76,01/06/2025,DOMINO'S PIZZA #17104,-8.8,debit,MT84MALT011000012345MTLCAST001S,EUR
77,01/06/2025,BOOKSTORE.COM 630-716-0414 US,-20.22,debit,MT84MALT011000012345MTLCAST001S,EUR
75,01/06/2025,DPZ MT-584417,-955.01,debit,MT84MALT011000012345MTLCAST001S,EUR
78,03/06/2025,AMZN Mktp DE,-35.36,debit,MT84MALT011000012345MTLCAST001S,EUR
79,03/06/2025,LOCAL DELI ONLINE MLT,-17.46,debit,MT84MALT011000012345MTLCAST001S,EUR
80,04/06/2025,BOOKSTORE ONLINE ESP,-108.05,debit,MT84MALT011000012345MTLCAST001S,EUR
81,04/06/2025,LOCAL DELI.COM 373-716-0414 US,-16.09,debit,MT84MALT011000012345MTLCAST001S,EUR
84,05/06/2025,NETFLIX ONLINE MLT,-15.22,debit,MT84MALT011000012345MTLCAST001S,EUR
83,05/06/2025,TKT*GAMESTORE,-40.33,debit,MT84MALT011000012345MTLCAST001S,EUR
82,05/06/2025,DPZ MT-237377,-21.67,debit,MT84MALT011000012345MTLCAST001S,EUR
85,06/06/2025,MCDONALD'S ONLINE ESP,-15.22,debit,MT84MALT011000012345MTLCAST001S,EUR
86,08/06/2025,POS 760626 NETFLIX MT BIRKIRKARA,-12.31,debit,MT84MALT011000012345MTLCAST001S,EUR
87,08/06/2025,MCDONALD'S #41365 MT,-18.46,debit,MT84MALT011000012345MTLCAST001S,EUR
88,10/06/2025,GOOGLE *CONCERT,-22.2,debit,MT84MALT011000012345MTLCAST001S,EUR
124,10/06/2025,REFUND ZARA ONLINE,45.5,credit,MT84MALT011000012345MTLCAST001S,EUR
89,11/06/2025,TKT*LIDL,-20.57,debit,MT84MALT011000012345MTLCAST001S,EUR
90,12/06/2025,DPZ MT-114338,-9.98,debit,MT84MALT011000012345MTLCAST001S,EUR
122,15/06/2025,AMAZON.COM USD - CONV TO EUR,-52.3,debit,MT84MALT011000012345MTLCAST001S,EUR
121,15/06/2025,USD FX FEE AMAZON US,-1.23,debit,MT84MALT011000012345MTLCAST001S,EUR
91,16/06/2025,DPZ MT-527809,-34.23,debit,MT84MALT011000012345MTLCAST001S,EUR
92,16/06/2025,CARD PURCHASE LOCAL DELI STORE #4681 LDN,-20.04,debit,MT84MALT011000012345MTLCAST001S,EUR
93,17/06/2025,CARD PURCHASE LOCAL DELI STORE #8560 LDN,-9.69,debit,MT84MALT011000012345MTLCAST001S,EUR
94,17/06/2025,CARD PURCHASE PUBLIC PARKING STORE #3522 LDN,-3.08,debit,MT84MALT011000012345MTLCAST001S,EUR
95,18/06/2025,CONCERT ONLINE MLT,-26.54,debit,MT84MALT011000012345MTLCAST001S,EUR
127,18/06/2025,MALTA POST LTD,-6.8,debit,MT84MALT011000012345MTLCAST001S,EUR
97,19/06/2025,DPZ MT-839677,-12.79,debit,MT84MALT011000012345MTLCAST001S,EUR
96,19/06/2025,TKT*PARKINGGAR,-5.29,debit,MT84MALT011000012345MTLCAST001S,EUR
126,20/06/2025,Starbucks,-4.55,debit,MT84MALT011000012345MTLCAST001S,EUR
125,20/06/2025,Starbucks,-4.85,debit,MT84MALT011000012345MTLCAST001S,EUR
98,20/06/2025,TKT*CONCERT,-36.91,debit,MT84MALT011000012345MTLCAST001S,EUR
128,21/06/2025,GOOGLE *GME,-12.99,debit,MT84MALT011000012345MTLCAST001S,EUR
99,22/06/2025,STARBUCKS #73242,-11.72,debit,MT84MALT011000012345MTLCAST001S,EUR
100,23/06/2025,MCDONALD'S ONLINE ESP,-24.61,debit,MT84MALT011000012345MTLCAST001S,EUR
102,24/06/2025,GOOGLE *PARKINGGARAG,-3.95,debit,MT84MALT011000012345MTLCAST001S,EUR
101,24/06/2025,BOOKSTORE ONLINE MLT,-37.64,debit,MT84MALT011000012345MTLCAST001S,EUR
129,25/06/2025,REVOLUT *P2P,-50,debit,MT84MALT011000012345MTLCAST001S,EUR
103,25/06/2025,LOCAL DELI #34983,-20.22,debit,MT84MALT011000012345MTLCAST001S,EUR
104,26/06/2025,MCDONALD'S #76616 MT,-21.21,debit,MT84MALT011000012345MTLCAST001S,EUR
105,26/06/2025,GOOGLE *LIDL,-14.41,debit,MT84MALT011000012345MTLCAST001S,EUR
106,26/06/2025,CARD PURCHASE PUBLIC PARKING STORE #5526 LDN,-7.79,debit,MT84MALT011000012345MTLCAST001S,EUR
108,27/06/2025,DPZ MT-380150,-100.77,debit,MT84MALT011000012345MTLCAST001S,EUR
107,27/06/2025,CONCERT #54548,-43.47,debit,MT84MALT011000012345MTLCAST001S,EUR
112,28/06/2025,CINEMA TICKETS ONLINE ESP,-15.4,debit,MT84MALT011000012345MTLCAST001S,EUR
110,28/06/2025,TKT*AMAZON,-121.11,debit,MT84MALT011000012345MTLCAST001S,EUR
111,28/06/2025,MCDONALD'S #86011 MT,-20.34,debit,MT84MALT011000012345MTLCAST001S,EUR
109,28/06/2025,POS 396578 PARKING GARAGE MT BIRKIRKARA,-6.18,debit,MT84MALT011000012345MTLCAST001S,EUR
113,30/06/2025,Payroll ACME Ltd,2048.42,credit,MT84MALT011000012345MTLCAST001S,EUR
114,30/06/2025,CINEMA TICKETS ONLINE MLT,-52.51,debit,MT84MALT011000012345MTLCAST001S,EUR
115,01/07/2025,PARKING GARAGE ONLINE NLD,-1.11,debit,MT84MALT011000012345MTLCAST001S,EUR
117,01/07/2025,DPZ MT-495533,-1027.89,debit,MT84MALT011000012345MTLCAST001S,EUR
116,01/07/2025,AMZN Mktp DE,-43.08,debit,MT84MALT011000012345MTLCAST001S,EUR
118,02/07/2025,STARBUCKS ONLINE NLD,-7.11,debit,MT84MALT011000012345MTLCAST001S,EUR
119,04/07/2025,DOMINO'S PIZZA.COM 814-716-0414 US,-20.49,debit,MT84MALT011000012345MTLCAST001S,EUR
120,05/07/2025,NETFLIX.COM 685-716-0414 US,-15.03,debit,MT84MALT011000012345MTLCAST001S,EUR
